drop1i0 - FjordOs(11): 0.769949493793, NorKyst(11): 0.67792417383
drop4i7 - FjordOs(2): 0.783847859658, NorKyst(1): 0.526305594798
drop6i12 - FjordOs(3): 0, NorKyst(11): 0.836600444541
drop7i10 - FjordOs(0): 0.500736617032, NorKyst(0): 0.555661092655
drop8i1 - FjordOs(21): 0.816883336005, NorKyst(21): 0.576563580019
drop31i4 - FjordOs(1): 0.489189784131, NorKyst(1): 0.582155100656
drop51i4 - FjordOs(3): 0.576597715523, NorKyst(15): 0.732671312381
drop52i8 - FjordOs(4): 0.380327324858, NorKyst(1): 0.499675137038
drop61i4 - FjordOs(3): 0.576240489091, NorKyst(8): 0.700540750854
drop61i5 - FjordOs(3): 0.575482600175, NorKyst(8): 0.700544905524
drop91i11 - FjordOs(8): 0.507088540166, NorKyst(12): 0.504594689255
drop101i6 - FjordOs(15): 0.605949798004, NorKyst(15): 0.777667030618
drop102i9 - FjordOs(6): 0.589352453867, NorKyst(7): 0.753189874714
